True Love Song,SD,Basic,5,5,0,0,0
True Love Song,SD,Advanced,7,7.2,0,0,0
True Love Song,SD,Expert,10,10.2,0,0,0
True Love Song,SD,Master,12,12.4,0,0,0
Color My World,SD,Basic,4,4,0,0,0
Color My World,SD,Advanced,7,7.1,0,0,0
Color My World,SD,Expert,9+,9.8,0,0,0
Color My World,SD,Master,12,12.4,0,0,0
Future,SD,Basic,7,7,0,0,0
Future,SD,Advanced,7+,7.8,0,0,0
Future,SD,Expert,9,9.5,0,0,0
Future,SD,Master,10+,10.7,0,0,0
Future,SD,Re:MASTER,12+,12.7,0,0,0
Love You,SD,Basic,6,6,0,0,0
Love You,SD,Advanced,6+,6.8,0,0,0
Love You,SD,Expert,9,9.6,0,0,0
Love You,SD,Master,11+,11.7,0,0,0
In Chaos,SD,Basic,6,6,0,0,0
In Chaos,SD,Advanced,7,7.6,0,0,0
In Chaos,SD,Expert,9+,9.7,0,0,0
In Chaos,SD,Master,12,12.5,0,0,0
In Chaos,SD,Re:MASTER,14+,14.8,0,0,0
Crush On You,SD,Basic,4,4,0,0,0
Crush On You,SD,Advanced,7,7.6,0,0,0
Crush On You,SD,Expert,9,9.2,0,0,0
Crush On You,SD,Master,11,11.4,0,0,0
Crush On You,SD,Re:MASTER,13+,13.7,0,0,0
Sun Dance,SD,Basic,4,4,0,0,0
Sun Dance,SD,Advanced,7,7.6,0,0,0
Sun Dance,SD,Expert,8+,8.9,0,0,0
Sun Dance,SD,Master,11,11.4,0,0,0
Sun Dance,SD,Re:MASTER,13+,13.9,0,0,0
Sweets×Sweets,SD,Basic,6,6,0,0,0
Sweets×Sweets,SD,Advanced,7,7.4,0,0,0
Sweets×Sweets,SD,Expert,9,9.3,0,0,0
Sweets×Sweets,SD,Master,11,11.4,0,0,0
Love or Lies,SD,Basic,5,5,0,0,0
Love or Lies,SD,Advanced,6+,6.8,0,0,0
Love or Lies,SD,Expert,9,9.5,0,0,0
Love or Lies,SD,Master,11+,11.7,0,0,0
ネコ日和。,SD,Basic,6,6,0,0,0
ネコ日和。,SD,Advanced,7+,7.9,0,0,0
ネコ日和。,SD,Expert,8+,8.8,0,0,0
ネコ日和。,SD,Master,11+,11.8,0,0,0
虹と太陽,SD,Basic,6,6,0,0,0
虹と太陽,SD,Advanced,8,8.4,0,0,0
虹と太陽,SD,Expert,10+,10.9,0,0,0
虹と太陽,SD,Master,12+,12.8,0,0,0
炭★坑★節,SD,Basic,5,5,0,0,0
炭★坑★節,SD,Advanced,7,7.1,0,0,0
炭★坑★節,SD,Expert,10+,10.7,0,0,0
炭★坑★節,SD,Master,13,13.5,0,0,0
NIGHT OF FIRE,SD,Basic,7,7,0,0,0
NIGHT OF FIRE,SD,Advanced,8,8.2,0,0,0
NIGHT OF FIRE,SD,Expert,10,10,0,0,0
NIGHT OF FIRE,SD,Master,11+,11.7,0,0,0
come again,SD,Basic,5,5,0,0,0
come again,SD,Advanced,7,7.2,0,0,0
come again,SD,Expert,10,10.2,0,0,0
come again,SD,Master,12,12.4,0,0,0
jelly,SD,Basic,5,5,0,0,0
jelly,SD,Advanced,8,8,0,0,0
jelly,SD,Expert,9,9.3,0,0,0
jelly,SD,Master,12,12.4,0,0,0
ルカルカ★ナイトフィーバー,SD,Basic,6,6,0,0,0
ルカルカ★ナイトフィーバー,SD,Advanced,7,7.6,0,0,0
ルカルカ★ナイトフィーバー,SD,Expert,9,9.3,0,0,0
ルカルカ★ナイトフィーバー,SD,Master,11+,11.7,0,0,0
源平大戦絵巻テーマソング,SD,Basic,6,6,0,0,0
源平大戦絵巻テーマソング,SD,Advanced,8,8.5,0,0,0
源平大戦絵巻テーマソング,SD,Expert,10+,10.7,0,0,0
源平大戦絵巻テーマソング,SD,Master,12+,12.8,0,0,0
源平大戦絵巻テーマソング,SD,Re:MASTER,14,14.4,0,0,0
美しく燃える森,SD,Basic,6,6,0,0,0
美しく燃える森,SD,Advanced,7,7.2,0,0,0
美しく燃える森,SD,Expert,9,9.1,0,0,0
美しく燃える森,SD,Master,10+,10.7,0,0,0
ウッーウッーウマウマ(ﾟ∀ﾟ),SD,Basic,6,6,0,0,0
ウッーウッーウマウマ(ﾟ∀ﾟ),SD,Advanced,8,8.3,0,0,0
ウッーウッーウマウマ(ﾟ∀ﾟ),SD,Expert,9+,9.7,0,0,0
ウッーウッーウマウマ(ﾟ∀ﾟ),SD,Master,13,13.3,0,0,0
Endless World,SD,Basic,5,5,0,0,0
Endless World,SD,Advanced,7,7,0,0,0
Endless World,SD,Expert,11,11.2,0,0,0
Endless World,SD,Master,12+,12.8,0,0,0
Endless World,SD,Re:MASTER,13,13.4,0,0,0
Beat Of Mind,SD,Basic,6,6,0,0,0
Beat Of Mind,SD,Advanced,9,9.3,0,0,0
Beat Of Mind,SD,Expert,11+,11.9,0,0,0
Beat Of Mind,SD,Master,11+,11.7,0,0,0
Beat Of Mind,SD,Re:MASTER,14,14.2,0,0,0
檄！帝国華撃団(改),SD,Basic,5,5,0,0,0
檄！帝国華撃団(改),SD,Advanced,7,7.4,0,0,0
檄！帝国華撃団(改),SD,Expert,9,9.4,0,0,0
檄！帝国華撃団(改),SD,Master,10+,10.7,0,0,0
檄！帝国華撃団(改),SD,Re:MASTER,13,13.2,0,0,0
メランコリック,SD,Basic,7,7,0,0,0
メランコリック,SD,Advanced,7+,7.8,0,0,0
メランコリック,SD,Expert,9,9.4,0,0,0
メランコリック,SD,Master,11+,11.7,0,0,0
教えて!! 魔法のLyric,SD,Basic,7,7,0,0,0
教えて!! 魔法のLyric,SD,Advanced,8,8,0,0,0
教えて!! 魔法のLyric,SD,Expert,9+,9.7,0,0,0
教えて!! 魔法のLyric,SD,Master,12,12.4,0,0,0
